site,tide.height,replicate,mussels,snails,barnacles
A,low,1,10,2,15
A,low,2,9,2,4
A,low,3,11,5,5
A,low,4,7,3,0
A,low,5,12,1,11
A,high,1,6,1,55
A,high,2,3,2,39
A,high,3,2,4,13
A,high,4,5,5,44
A,high,5,7,3,35
B,low,1,9,6,1
B,low,2,15,10,10
B,low,3,16,12,13
B,low,4,12,10,26
B,low,5,12,9,12
B,high,1,1,2,55
B,high,2,2,6,42
B,high,3,5,5,32
B,high,4,4,6,40
B,high,5,3,1,34
C,low,1,20,15,6
C,low,2,18,12,10
C,low,3,15,16,31
C,low,4,10,9,11
C,low,5,9,10,19
C,high,1,10,5,34
C,high,2,15,4,26
C,high,3,16,6,35
C,high,4,12,8,22
C,high,5,14,1,37
