"","site","tide.height","replicate","Species","Abundance"
"1","A","low",1,"mussels",10
"2","A","low",2,"mussels",9
"3","A","low",3,"mussels",11
"4","A","low",4,"mussels",7
"5","A","low",5,"mussels",12
"6","A","high",1,"mussels",6
"7","A","high",2,"mussels",3
"8","A","high",3,"mussels",2
"9","A","high",4,"mussels",5
"10","A","high",5,"mussels",7
"11","B","low",1,"mussels",9
"12","B","low",2,"mussels",15
"13","B","low",3,"mussels",16
"14","B","low",4,"mussels",12
"15","B","low",5,"mussels",12
"16","B","high",1,"mussels",1
"17","B","high",2,"mussels",2
"18","B","high",3,"mussels",5
"19","B","high",4,"mussels",4
"20","B","high",5,"mussels",3
"21","C","low",1,"mussels",20
"22","C","low",2,"mussels",18
"23","C","low",3,"mussels",15
"24","C","low",4,"mussels",10
"25","C","low",5,"mussels",9
"26","C","high",1,"mussels",10
"27","C","high",2,"mussels",15
"28","C","high",3,"mussels",16
"29","C","high",4,"mussels",12
"30","C","high",5,"mussels",14
"31","A","low",1,"snails",2
"32","A","low",2,"snails",2
"33","A","low",3,"snails",5
"34","A","low",4,"snails",3
"35","A","low",5,"snails",1
"36","A","high",1,"snails",1
"37","A","high",2,"snails",2
"38","A","high",3,"snails",4
"39","A","high",4,"snails",5
"40","A","high",5,"snails",3
"41","B","low",1,"snails",6
"42","B","low",2,"snails",10
"43","B","low",3,"snails",12
"44","B","low",4,"snails",10
"45","B","low",5,"snails",9
"46","B","high",1,"snails",2
"47","B","high",2,"snails",6
"48","B","high",3,"snails",5
"49","B","high",4,"snails",6
"50","B","high",5,"snails",1
"51","C","low",1,"snails",15
"52","C","low",2,"snails",12
"53","C","low",3,"snails",16
"54","C","low",4,"snails",9
"55","C","low",5,"snails",10
"56","C","high",1,"snails",5
"57","C","high",2,"snails",4
"58","C","high",3,"snails",6
"59","C","high",4,"snails",8
"60","C","high",5,"snails",1
"61","A","low",1,"barnacles",15
"62","A","low",2,"barnacles",4
"63","A","low",3,"barnacles",5
"64","A","low",4,"barnacles",0
"65","A","low",5,"barnacles",11
"66","A","high",1,"barnacles",55
"67","A","high",2,"barnacles",39
"68","A","high",3,"barnacles",13
"69","A","high",4,"barnacles",44
"70","A","high",5,"barnacles",35
"71","B","low",1,"barnacles",1
"72","B","low",2,"barnacles",10
"73","B","low",3,"barnacles",13
"74","B","low",4,"barnacles",26
"75","B","low",5,"barnacles",12
"76","B","high",1,"barnacles",55
"77","B","high",2,"barnacles",42
"78","B","high",3,"barnacles",32
"79","B","high",4,"barnacles",40
"80","B","high",5,"barnacles",34
"81","C","low",1,"barnacles",6
"82","C","low",2,"barnacles",10
"83","C","low",3,"barnacles",31
"84","C","low",4,"barnacles",11
"85","C","low",5,"barnacles",19
"86","C","high",1,"barnacles",34
"87","C","high",2,"barnacles",26
"88","C","high",3,"barnacles",35
"89","C","high",4,"barnacles",22
"90","C","high",5,"barnacles",37
