YEAR,Region,fourspot_flounder,shortfin_squid,longfin_squid,silver_hake,butterfish,sea_scallop
1973,Georges Bank,1.586134068,2.558310376,48.72070707,19.5412764,4.686868687,80.34995409
1974,Georges Bank,0.835858586,1.610606061,54.17676768,96.82575758,4.699494949,1.792929293
1975,Georges Bank,2.70661157,8.023875115,61.37222222,55.72070707,5.847796143,13.72217631
1976,Georges Bank,1.832323232,37.59646465,80.28585859,37.9459596,12.28989899,7.797474747
1977,Georges Bank,1.929476584,15.89931129,21.63115726,18.76779232,31.01509017,31.73061497
1978,Georges Bank,1.403505838,46.7087072,22.12159911,37.17250426,54.57965368,9.804634002
1979,Georges Bank,2.646176046,25.69440837,37.57157287,23.79805195,12.61753247,11.58412698
1980,Georges Bank,1.623088023,12.59848485,58.37525253,43.34029582,134.5290043,45.04541847
1981,Georges Bank,1.597474747,5.261616162,50.11969697,47.17020202,26.51313131,31.59444444
1982,Georges Bank,3.552525253,9.519949495,36.68611111,68.24141414,11.05681818,4.395454545
1983,Georges Bank,2.611616162,0.682323232,48.68636364,20.36262626,77.77121212,1.131313131
1984,Georges Bank,2.077272727,3.891414141,60.52323232,39.41616162,8.842929293,6.022222222
1985,Georges Bank,3.993181818,1.728787879,142.034596,158.8310606,76.92449495,6.943181818
1986,Georges Bank,1.985858586,1.522222222,52.53787879,49.28232323,19.30858586,12.21414141
1987,Georges Bank,2.792929293,7.292424242,11.4030303,40.98181818,2.697474747,5.454040404
1988,Georges Bank,0.743686869,27.85277778,63.61111111,55.64141414,19.78358586,5.646464646
1989,Georges Bank,3.076767677,9.747979798,118.8631313,77.88636364,13.84949495,79.17272727
1990,Georges Bank,3.592171717,13.74280303,32.77790404,79.5125,72.70075758,31.70441919
1991,Georges Bank,2.586363636,9.277777778,80.01515152,54.28838384,38.73888889,3.32020202
1992,Georges Bank,2.133333333,8.945959596,107.9606061,63.21515152,53.16767677,13.93787879
1993,Georges Bank,5.038383838,26.06060606,90.57979798,23.44141414,23.19090909,20.68484848
1994,Georges Bank,4.031662782,11.1482129,172.5649573,41.81554002,40.44996115,2.822649573
1995,Georges Bank,4.779706152,8.493801653,37.84256198,28.42208448,46.16019284,3.770752984
1996,Georges Bank,3.402525253,9.264646465,4.15959596,19.71010101,11.82121212,12.93484848
1997,Georges Bank,2.907070707,4.302525253,18.03535354,34.50505051,49.83787879,10.63232323
1998,Georges Bank,4.181818182,5.422222222,31.72070707,39.12828283,145.8631313,8.032323232
1999,Georges Bank,6.228282828,1.167171717,250.6661616,49.78131313,82.61868687,134.8984848
2000,Georges Bank,3.537878788,4.015151515,108.2186869,80.19444444,11.77020202,10.60959596
2001,Georges Bank,5.690909091,2.131818182,153.8363636,63.62626263,84.16767677,177.640404
2002,Georges Bank,6.207575758,7.173737374,138.7176768,68.19090909,6.901010101,87.84191919
2003,Georges Bank,10.95197429,7.954683196,41.05505051,50.9594123,28.20252525,18.49178145
2004,Georges Bank,2.072727273,4.203030303,39.0989899,32.38333333,12.73939394,7.339393939
2005,Georges Bank,4.497474747,5.251515152,41.73181818,21.43787879,2.095454545,9.034343434
2006,Georges Bank,4.904545455,10.15959596,104.6035354,85.78636364,176.3464646,19.87272727
2007,Georges Bank,4.007070707,8.31010101,133.5661616,28.22373737,14.44292929,37.69949495
2008,Georges Bank,4.117171717,7.633838384,51.04393939,26.24141414,11.07575758,52.28282828
2009,Georges Bank,12.25779221,25.46298701,29.22012987,361.0074675,77.0737013,69.34188312
2010,Georges Bank,17.39242424,19.57954545,362.8356061,255.6333333,77.84848485,15.19772727
2011,Georges Bank,10.10583104,11.52552801,67.72167126,322.8802112,57.95082645,88.20160698
2012,Georges Bank,11.13095238,14.21287879,759.58171,297.0006494,139.650974,34.30422078
2013,Georges Bank,9.252295684,5.128787879,351.700282,495.9349665,47.39489046,71.70329923
2014,Georges Bank,17.48427128,14.53961039,146.8455988,253.1173882,60.3047619,251.999062
2015,Georges Bank,12.70519481,5.054401154,81.10793651,266.1943723,84.36457431,196.4681818
2016,Georges Bank,16.38354978,11.2474026,129.1994228,236.4624098,283.2448773,68.07987013
1973,S New England,4.861355311,1.128663004,446.242674,19.18168498,112.0981685,42.79349817
1974,S New England,2.797161172,4.371794872,248.740293,58.4970696,113.2452381,4.873626374
1975,S New England,4.293803419,43.07411477,331.4181319,35.88528694,90.92075702,71.30921856
1976,S New England,7.455128205,54.18525641,354.4416667,87.82820513,219.6128205,24.47948718
1977,S New England,6.297069597,21.13956044,226.0654457,64.82686203,91.30830281,19.23174603
1978,S New England,6.636468434,25.42569489,149.7554999,59.84269554,44.85780543,5.367717087
1979,S New England,11.52567016,37.08189311,301.321824,26.74555861,269.7487929,6.071620047
1980,S New England,11.64349817,24.15338828,356.4056777,27.54230769,449.4929487,23.07307692
1981,S New England,11.96886447,80.81868132,221.9695971,56.653663,174.8791209,8.386538462
1982,S New England,9.312728938,6.408974359,477.4186813,45.65347985,229.4702381,16.3956044
1983,S New England,17.66263736,6.422435897,566.185989,41.44624542,1285.298077,7.019322344
